© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	Somatic aldosterone-producing adrenal adenoma	7.65E-04	KCNJ5	1
Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Short-rib thoracic dysplasia type 17 with polydactyly	7.65E-04	DYNLT2B	1
Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities	Early infantile epileptic encephalopathy type 32	7.65E-04	KCNA2	1
Cardiovascular Disease,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities	Long QT syndrome type 13	7.65E-04	KCNJ5	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Bradycardia	8.31E-04	ADRA2B,KCNJ5	2
Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Familial congenital anomaly of limb	8.60E-04	ADRA2B,DYNLT2B,HPGD	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Cardiac arrest	8.61E-04	ADRA2B,KCNJ5	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Hemodynamic instability	1.08E-03	ADRA2B,KCNJ5	2
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Ventricular fibrillation	1.08E-03	ADRA2B,KCNJ5	2
Cell Cycle	Entry into cell cycle progression of breast cancer cell lines	1.53E-03	HPGD	1
Cardiovascular Disease,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities	Andersen syndrome	1.53E-03	KCNJ5	1
Infectious Diseases,Organismal Injury and Abnormalities	Viral entry by human herpesvirus 1	1.53E-03	TNFSF14	1
Cell-To-Cell Signaling and Interaction,Nervous System Development and Function	Silencing of neurons	1.53E-03	KCNJ1	1
Organismal Injury and Abnormalities,Renal and Urological Disease	Kaluresis	1.53E-03	KCNJ1	1
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	Aldosterone and cortisol producing adrenal cortical adenoma	1.53E-03	KCNJ5	1
Drug Metabolism,Energy Production,Lipid Metabolism,Small Molecule Biochemistry	Oxidation of prostaglandin E2	1.53E-03	HPGD	1
Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities	Adult familial myoclonic epilepsy type 2	1.53E-03	ADRA2B	1
Cell-mediated Immune Response,Hematological System Development and Function	Anergy of peripheral T lymphocyte	1.53E-03	RNF128	1
Molecular Transport	Secretion of K+	1.53E-03	KCNJ1	1
Organ Morphology	Structural integrity of spleen	1.53E-03	TNFSF14	1
Energy Production,Lipid Metabolism,Small Molecule Biochemistry	Oxidation of dinoprost	1.53E-03	HPGD	1
Reproductive System Development and Function	Gestation	2.08E-03	ADRA2B,HPGD	2
Cell-To-Cell Signaling and Interaction,Molecular Transport,Small Molecule Biochemistry	Secretion of catecholamine	2.08E-03	ADRA2B,KCNA2	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Ventricular tachycardia	2.13E-03	ADRA2B,KCNJ5	2
Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities	Autosomal dominant epilepsy	2.13E-03	ADRA2B,KCNA2	2
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development,Organ Development,Tissue Development	Proliferation of splenocytes	2.22E-03	RNF128,TNFSF14	2
Neurological Disease,Organismal Injury and Abnormalities	Epileptic seizure	2.24E-03	ADRA2B,HS3ST2,KCNA2	3
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	Cell-cell adhesion of skin cancer cell lines	2.29E-03	GOLGA7B	1
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Spondylolysis	2.29E-03	ADRA2B	1
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Spine arthrosis	2.29E-03	ADRA2B	1
Carbohydrate Metabolism,Drug Metabolism,Molecular Transport,Small Molecule Biochemistry	Export of hyaluronic acid	2.29E-03	KCNJ5	1
Organismal Injury and Abnormalities,Psychological Disorders	Schizotypal personality disorder	2.29E-03	ADRA2B	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Symptomatic stage hypertension	2.29E-03	KCNJ5	1
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Non-psychotic major depressive disorder	2.29E-03	ADRA2B	1
Organismal Injury and Abnormalities,Respiratory Disease	Restrictive pulmonary disease	2.29E-03	ADRA2B	1
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Gradual hair thinning	2.29E-03	KCNJ5	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Myocardial infarction	2.66E-03	ADRA2B,KCNJ1,KCNJ5	3
Hematological Disease,Infectious Diseases,Organismal Injury and Abnormalities	Parasitemia	2.67E-03	ADRA2B,KCNJ5	2
Molecular Transport	Secretion of molecule	3.03E-03	ADRA2B,KCNA2,KCNJ1,KCNJ5	4
Cell Death and Survival,Embryonic Development	Apoptosis of cytotrophoblastic cells	3.06E-03	TNFSF14	1
Cell-To-Cell Signaling and Interaction	Attachment of sarcoma cell lines	3.06E-03	AFAP1L1	1
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Muscle spasticity of upper limb	3.06E-03	ADRA2B	1
Cardiovascular Disease,Developmental Disorder,Organismal Injury and Abnormalities	Acyanotic congenital heart disease	3.06E-03	ADRA2B	1
Hair and Skin Development and Function	Skin turgor	3.06E-03	KCNJ1	1
Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities	Familial myoclonus	3.21E-03	ADRA2B,KCNA2	2
Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Organismal Development,Tissue Development	Proliferation of mesenchymal cells	3.56E-03	ADRA2B,AFAP1L1	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Angina pectoris	3.62E-03	ADRA2B,KCNJ5	2
Inflammatory Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Relapsing-remitting multiple sclerosis	3.68E-03	ADRA2B,KCNA2	2
Neurological Disease,Organismal Injury and Abnormalities	Myoclonic seizure	3.74E-03	ADRA2B,KCNA2	2
Cardiovascular System Development and Function,Organismal Development,Reproductive System Development and Function	Vascularization of labyrinthine zone of placenta	3.82E-03	ADRA2B	1
Developmental Disorder,Hematological System Development and Function,Immunological Disease,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Injury and Abnormalities,Tissue Morphology	Lack of popliteal lymph node	3.82E-03	TNFSF14	1
Developmental Disorder,Hematological System Development and Function,Immunological Disease,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Tissue Morphology	Lack of brachial lymph node	3.82E-03	TNFSF14	1
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Tissue Development	Colony formation of LSK cells	3.82E-03	TNFSF14	1
Cell Morphology,Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization	Electrical resistance of tumor cell lines	3.82E-03	GOLGA7B	1
Neurological Disease,Organismal Injury and Abnormalities	Reading disability	3.82E-03	ADRA2B	1
Embryonic Development,Organ Development,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Respiratory Disease,Respiratory System Development and Function,Tissue Development	Thickness of interalveolar septa	3.82E-03	ADRA2B	1
Drug Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Accumulation of prostaglandin E2	3.82E-03	HPGD	1
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Muscle spasticity	3.99E-03	ADRA2B,KCNA2	2
Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities	Syndromic X-linked mental retardation	4.31E-03	ADRA2B,KCNA2	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Disorder of coronary artery	4.39E-03	ADRA2B,KCNJ1,KCNJ5	3
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Facial erythema of rosacea	4.58E-03	ADRA2B	1
Connective Tissue Development and Function,Connective Tissue Disorders,Developmental Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Skeletal and Muscular System Development and Function,Tissue Development	Tarsal coalition	4.58E-03	ADRA2B	1
Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Flatfoot	4.58E-03	ADRA2B	1
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of effector memory RA-positive cytotoxic T cells	4.58E-03	TNFSF14	1
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Persistent erythema	4.58E-03	ADRA2B	1
Ophthalmic Disease,Organismal Injury and Abnormalities	Entropion	4.58E-03	ADRA2B	1
Developmental Disorder,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Skeletal and Muscular System Development and Function	Aplasia of thumb	4.58E-03	ADRA2B	1
Cellular Development,Cellular Growth and Proliferation	Colony formation of cholangiocarcinoma cell lines	4.58E-03	HPGD	1
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Eyebrow hypotrichosis	4.58E-03	KCNJ5	1
Organismal Injury and Abnormalities	Chills	4.58E-03	ADRA2B	1
Neurological Disease,Organismal Injury and Abnormalities	Moderate sedation	4.58E-03	ADRA2B	1
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Binding of Th2 cells	4.58E-03	TNFSF14	1
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Catatonia	4.58E-03	ADRA2B	1
Cell Morphology,Cellular Assembly and Organization,Cellular Function and Maintenance	Polarization of plasma membrane	4.58E-03	KCNJ5	1
Organismal Injury and Abnormalities,Respiratory Disease	Apnea	4.71E-03	ADRA2B,KCNA2	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Primary hypertension	5.13E-03	ADRA2B,KCNJ5	2
Organismal Injury and Abnormalities,Renal and Urological Disease	Urination disorder	5.17E-03	ADRA2B,KCNJ1,TNFSF14	3
Organismal Injury and Abnormalities	Chronic pain	5.27E-03	ADRA2B,KCNJ5	2
Behavior,Nervous System Development and Function	Circadian rhythm	5.34E-03	HS3ST2,KCNA2	2
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Nervous System Development and Function	Discharge of neurons	5.34E-03	KCNJ1	1
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Trafficking of dendritic cells	5.34E-03	TNFSF14	1
Dermatological Diseases and Conditions,Ophthalmic Disease,Organismal Injury and Abnormalities	Itchy red eye	5.34E-03	ADRA2B	1
Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry	Accumulation of adenosine	5.34E-03	TNFSF14	1
Dermatological Diseases and Conditions,Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Animal dander and hair allergy related ocular itching	5.34E-03	ADRA2B	1
Dermatological Diseases and Conditions,Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Ragweed allergy related ocular itching	5.34E-03	ADRA2B	1
Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Animal dander and hair allergy related red eye	5.34E-03	ADRA2B	1
Dermatological Diseases and Conditions,Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Grass allergy related ocular itching	5.34E-03	ADRA2B	1
Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Ragweed allergy related red eye	5.34E-03	ADRA2B	1
Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Grass allergy related red eye	5.34E-03	ADRA2B	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Paroxysmal atrial flutter	5.34E-03	ADRA2B	1
Ophthalmic Disease,Organismal Injury and Abnormalities	Ectropion	5.34E-03	ADRA2B	1
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Severe stomatitis	5.34E-03	ADRA2B	1
Neurological Disease,Organismal Injury and Abnormalities	Synkinesis	5.34E-03	ADRA2B	1
Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Congenital clubfoot	6.11E-03	ADRA2B	1
Cellular Function and Maintenance,Molecular Transport	Influx of Na+	6.11E-03	KCNJ5	1
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Bell palsy	6.11E-03	ADRA2B	1
Cell-To-Cell Signaling and Interaction	Conjugation of leukemia cell lines	6.11E-03	RNF128	1
Molecular Transport	Excretion of chloride	6.11E-03	KCNJ1	1
Immunological Disease,Organismal Injury and Abnormalities	Abnormal immunological tolerance	6.11E-03	RNF128	1
Endocrine System Development and Function,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Release of aldosterone	6.11E-03	KCNJ5	1
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Tissue Morphology	Radius fracture	6.87E-03	ADRA2B	1
Developmental Disorder,Hematological System Development and Function,Immunological Disease,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Injury and Abnormalities,Tissue Morphology	Lack of inguinal lymph node	6.87E-03	TNFSF14	1
Protein Synthesis	Metabolism of toxin peptide	6.87E-03	FMO1	1
Neurological Disease,Organismal Injury and Abnormalities	Light-headedness	6.87E-03	ADRA2B	1
Neurological Disease,Organismal Injury and Abnormalities	Orthostatic dizziness	6.87E-03	ADRA2B	1
Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Digenic short rib thoracic dysplasia 3/6 with polydactyly	6.87E-03	DYNLT2B	1
Immunological Disease,Organismal Injury and Abnormalities	Exercise induced anaphylaxis	6.87E-03	ADRA2B	1
Organismal Injury and Abnormalities,Respiratory Disease	Acute respiratory failure	6.87E-03	ADRA2B	1
Cell-To-Cell Signaling and Interaction	Conjugation of lymphoma cell lines	6.87E-03	RNF128	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Acute hypotension	6.87E-03	ADRA2B	1
Cell Morphology,Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Conversion of CD4+ T-lymphocytes	6.87E-03	RNF128	1
Cardiovascular Disease,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities	Familial congenital heart disease	7.45E-03	ADRA2B,KCNJ5	2
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Sleep Disorders	7.45E-03	ADRA2B,KCNA2	2
Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry	Abnormal quantity of prostaglandin	7.63E-03	HPGD	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Non-obstructive coronary artery disease	7.63E-03	KCNJ5	1
Protein Synthesis	Quantity of IL-2 in blood	7.63E-03	RNF128	1
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	Type 1 hepatorenal syndrome	7.63E-03	ADRA2B	1
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Tonsillitis	7.63E-03	ADRA2B	1
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Moderate bronchiolitis	7.63E-03	ADRA2B	1
Organismal Injury and Abnormalities	Frailty syndrome	8.39E-03	ADRA2B	1
Organismal Injury and Abnormalities,Respiratory Disease	Hemoptysis	8.39E-03	ADRA2B	1
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Acute bronchiolitis	8.39E-03	ADRA2B	1
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Shoulder impingement syndrome	8.39E-03	ADRA2B	1
Organismal Injury and Abnormalities	Minor body ache	8.39E-03	ADRA2B	1
Organismal Functions	Tolerization	8.39E-03	RNF128	1
Cardiovascular Disease,Neurological Disease,Organismal Injury and Abnormalities	Neurogenic orthostatic hypotension	8.39E-03	ADRA2B	1
Cellular Function and Maintenance,Molecular Transport	Absorption of water	8.39E-03	TNFSF14	1
Organismal Injury and Abnormalities,Psychological Disorders	Intermittent explosive disorder	8.39E-03	ADRA2B	1
Cell-To-Cell Signaling and Interaction,Molecular Transport,Small Molecule Biochemistry	Secretion of neurotransmitter	8.75E-03	ADRA2B,KCNA2	2
Cell Signaling,Molecular Transport,Vitamin and Mineral Metabolism	Concentration of Ca2+	9.12E-03	KCNJ5,TNFSF14	2
Organismal Injury and Abnormalities	Postoperative hemorrhage	9.15E-03	ADRA2B	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Paroxysmal atrial fibrillation	9.15E-03	ADRA2B	1
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities,Respiratory Disease	Throat pruritus	9.15E-03	ADRA2B	1
Cardiovascular System Development and Function,Skeletal and Muscular System Development and Function	Contraction of vascular smooth muscle	9.15E-03	ADRA2B	1
Dermatological Diseases and Conditions,Ophthalmic Disease,Organismal Injury and Abnormalities	Itchy watery eye	9.15E-03	ADRA2B	1
Organismal Injury and Abnormalities,Psychological Disorders	Restlessness	9.15E-03	ADRA2B	1
Cancer,Organismal Injury and Abnormalities	Abdominal adenocarcinoma	9.20E-03	ADRA2B,AFAP1L1,DNASE2B,FMO1,GOLGA7B,HPGD,HS3ST2,KCNA2,KCNJ1,KCNJ5,NCAPH,PGBD5,RNF128,STUM,TNFSF14,TRHDE,ZBTB7C	17
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Atrial fibrillation	9.59E-03	ADRA2B,KCNJ5	2
Inflammatory Disease,Inflammatory Response,Organ Morphology,Organismal Injury and Abnormalities,Respiratory Disease	Swelling of nose	9.90E-03	ADRA2B	1
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Binding of Th1 cells	9.90E-03	TNFSF14	1
Organismal Injury and Abnormalities	Distributive shock response	9.90E-03	ADRA2B	1
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities	End stage liver disease	9.90E-03	ADRA2B	1
Cell Cycle	Chromosome separation	9.90E-03	NCAPH	1
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Croup	9.90E-03	ADRA2B	1
Connective Tissue Disorders,Organismal Injury and Abnormalities	Hypomobility	9.90E-03	ADRA2B	1
Cancer,Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Skin cancer	9.95E-03	ADRA2B,AFAP1L1,FMO1,GOLGA7B,HPGD,HS3ST2,KCNA2,KCNJ1,KCNJ5,NCAPH,PGBD5,RNF128,TNFSF14,TRHDE,ZBTB7C	15
Organismal Injury and Abnormalities,Respiratory Disease	Respiratory failure	1.05E-02	ADRA2B,KCNJ5	2
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Tissue Morphology	Closed fracture	1.07E-02	ADRA2B	1
Organismal Injury and Abnormalities,Respiratory Disease	Sinus congestion	1.07E-02	ADRA2B	1
Cell Morphology,Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Conversion of regulatory T lymphocytes	1.07E-02	RNF128	1
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Trigger finger disorder	1.07E-02	ADRA2B	1
Organismal Injury and Abnormalities,Psychological Disorders	Adjustment disorder	1.07E-02	ADRA2B	1
Digestive System Development and Function,Gastrointestinal Disease,Hematological System Development and Function,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Tissue Morphology	Lack of Peyer's patches	1.07E-02	TNFSF14	1
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Acute manic episode of bipolar I disorder	1.07E-02	ADRA2B	1
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Spondylolisthesis	1.07E-02	ADRA2B	1
Cardiovascular Disease,Cardiovascular System Development and Function,Organismal Injury and Abnormalities,Tissue Morphology	Abnormal regression of vasculature	1.07E-02	HPGD	1
Connective Tissue Disorders,Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Dysplasia of hip bone	1.07E-02	ADRA2B	1
Organismal Injury and Abnormalities,Reproductive System Disease	Priapism	1.07E-02	ADRA2B	1
Organismal Injury and Abnormalities,Respiratory Disease	Sinus pressure	1.07E-02	ADRA2B	1
Neurological Disease,Organismal Injury and Abnormalities	Postdural puncture headache	1.14E-02	ADRA2B	1
Cell Cycle	Chromosome condensation	1.14E-02	NCAPH	1
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities,Respiratory Disease	Nasal pruritus	1.14E-02	ADRA2B	1
Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Ocular graft versus host disease	1.14E-02	ADRA2B	1
Neurological Disease,Organismal Injury and Abnormalities	Tonic seizure	1.14E-02	KCNA2	1
Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities	Recurrent colon cancer	1.14E-02	ADRA2B	1
DNA Replication, Recombination, and Repair	Condensation of mitotic chromosomes	1.14E-02	NCAPH	1
Dermatological Diseases and Conditions,Organ Morphology,Organismal Injury and Abnormalities	Abnormal morphology of wrinkled skin	1.14E-02	KCNJ1	1
Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities	Familial congenital malformation	1.16E-02	ADRA2B,DYNLT2B,HPGD,KCNJ1,KCNJ5,NCAPH	6
Organismal Injury and Abnormalities,Psychological Disorders	Emotional lability	1.22E-02	ADRA2B	1
Cardiovascular Disease,Organismal Injury and Abnormalities	Refractory hemodynamically unstable ventricular tachycardia	1.22E-02	KCNJ5	1
Cardiovascular Disease,Developmental Disorder,DNA Replication, Recombination, and Repair,Endocrine System Disorders,Hereditary Disorder,Immunological Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Shprintzen syndrome	1.22E-02	ADRA2B	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Longstanding persistent atrial fibrillation	1.22E-02	KCNJ5	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Recurrent ventricular fibrillation	1.22E-02	KCNJ5	1
Drug Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry,Vitamin and Mineral Metabolism	Concentration of tretinoin	1.22E-02	HPGD	1
Hematological System Development and Function,Immunological Disease,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Tissue Morphology	Abnormal morphology of enlarged mesenteric lymph node	1.22E-02	RNF128	1
Cardiovascular Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Refractory ventricular fibrillation	1.22E-02	KCNJ5	1
DNA Replication, Recombination, and Repair,Energy Production,Nucleic Acid Metabolism,Small Molecule Biochemistry	Oxidation of NADPH	1.22E-02	FMO1	1
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	Adrenal gland tumor	1.25E-02	ADRA2B,KCNJ5	2
Behavior,Organismal Injury and Abnormalities,Psychological Disorders	Self-abusive behavior	1.29E-02	ADRA2B	1
Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Polysyndactyly	1.29E-02	ADRA2B	1
Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rotator cuff tear	1.29E-02	ADRA2B	1
Cardiovascular Disease,Developmental Disorder,Organismal Injury and Abnormalities	Patent ductus arteriosus	1.29E-02	HPGD	1
Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities	Gastrointestinal carcinoma	1.31E-02	ADRA2B,AFAP1L1,FMO1,GOLGA7B,HPGD,HS3ST2,KCNA2,KCNJ1,KCNJ5,NCAPH,PGBD5,RNF128,STUM,TNFSF14,TRHDE,ZBTB7C	16
