© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Infectious Diseases,Organismal Injury and Abnormalities	COVID-19	1.07E-27	ADORA2A,CCL20,CCL4,CCL5,CCL8,CD38,CFB,CXCL1,CXCL10,CXCL2,CXCL8,EHF,EPSTI1,GCH1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL1A,IL1B,IL27,IRF7,ISG15,JAK3,KCNJ5,MX1,MX2,NAMPT,PDE4B,PLAC8,PTGS2,RSAD2,S100A12,SIGLEC1,TNFSF10,VCAN,XAF1	40
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Activation of blood cells	1.11E-27	ADORA2A,AIM2,C1QTNF1,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,DDX58,FPR2,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,JAK3,LAG3,NAMPT,NCF1,PAX5,PDPN,PTGES,PTGIR,PTGS2,S100A12,SIGLEC1,SIGLEC10,SLAMF1,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A	51
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Psoriasis	1.79E-27	APOBEC3A,CALHM6,CCL20,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EPSTI1,G0S2,IDO1,IFI27,IFI44L,IFIT1,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IRF7,ISG15,ISG20,JAK3,LAD1,LAMP3,MT1X,MX1,NAMPT,OASL,PDE4B,PTGS2,RSAD2,S100A12,SERPINB2,SOCS2,SOCS3,TNFAIP6,WNT5A	43
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of leukocytes	3.10E-26	ADORA2A,AIM2,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,DDX58,FPR2,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,JAK3,LAG3,NAMPT,NCF1,PAX5,PTGES,PTGS2,S100A12,SIGLEC1,SIGLEC10,SLAMF1,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A	48
Cell-To-Cell Signaling and Interaction	Activation of cells	3.55E-26	ADORA2A,AIM2,C1QTNF1,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,FPR2,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,IRF7,JAK3,LAG3,NAMPT,NCF1,PAX5,PDPN,PTGES,PTGIR,PTGS2,S100A12,SIGLEC1,SIGLEC10,SLAMF1,SNAI1,SOCS2,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,VCAN,WNT5A,ZBP1	56
Antimicrobial Response,Inflammatory Response	Antiviral response	4.95E-26	ACOD1,AIM2,APOBEC3A,CCL19,CCL4,CCL5,CCL8,CCR7,CXCL10,DDX58,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1B,IL27,IRF7,ISG15,ISG20,ITGB8,MX1,MX2,OASL,RSAD2,SOCS3,ZBP1	29
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Lymphocyte migration	6.74E-25	ADORA2A,AIM2,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD80,CRLF2,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,ENPP2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MDK,MYO1G,PTGS2,SOCS3,THBS1,TNFSF10,WNT5A	36
Hematological System Development and Function,Tissue Morphology	Quantity of leukocytes	7.57E-25	ADORA2A,AIM2,CALHM6,CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CD70,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,FPR2,HESX1,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MYO1G,PAX5,PDE4B,PLAC8,PTGES,PTGIR,PTGS2,SERPINB2,SIGLEC1,SIGLEC10,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A	54
Cellular Movement	Cell movement of myeloid cells	1.77E-24	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PDE4B,PTGES,PTGIR,PTGS2,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,VCAN,WNT5A,ZBP1	43
Inflammatory Disease,Organismal Injury and Abnormalities	Chronic inflammatory disorder	1.82E-24	ADORA2A,CA12,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,EREG,FPR2,G0S2,HELZ2,HS3ST3B1,IDO1,IL12B,IL1A,IL1B,IL2RA,IL7R,ITGB8,JAK3,KCNA2,LAG3,MDK,NAMPT,NCF1,NCF1C,PAX5,PDE4B,PTGES,PTGS2,S100A12,SLAMF1,SLC1A2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A,ZBP1	57
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of phagocytes	3.51E-24	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CD80,CFB,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PDE4B,PDPN,PTGES,PTGS2,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,VCAN,WNT5A	43
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rheumatic Disease	4.26E-24	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,EBI3,ENPP2,FPR2,G0S2,HELZ2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,ITGB8,JAK3,MDK,MN1,NAMPT,NCF1,PAX5,PDE4B,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SLC1A2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A	55
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of lymphocytes	4.89E-24	ADORA2A,AIM2,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD80,CRLF2,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,ENPP2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MDK,MYO1G,PTGES,PTGS2,SOCS3,THBS1,TNFSF10,WNT5A	37
Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Type 1 interferonopathy	1.45E-23	CMPK2,EPSTI1,HERC5,IFI27,IFI44L,IFIT1,IRF7,ISG15,JAK3,LAMP3,MX1,OASL,RSAD2,SIGLEC1	14
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of mononuclear leukocytes	1.52E-23	ADORA2A,AIM2,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD80,CRLF2,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,ENPP2,FPR2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MDK,MYO1G,PTGES,PTGS2,S100A12,SOCS3,THBS1,TNFSF10,WNT5A	39
Cellular Movement	Cellular infiltration by blood cells	1.63E-23	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CD38,CFB,CLEC4E,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MDK,NCF1,PTGES,PTGIR,PTGS2,SOCS3,THBS1,TNFSF10,WNT5A,ZBP1	38
Hematological System Development and Function,Tissue Morphology	Quantity of blood cells	2.28E-23	ADORA2A,AIM2,CALHM6,CCL19,CCL20,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,FPR2,HESX1,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MYO1G,PAX5,PDE4B,PLAC8,PTGES,PTGIR,PTGS2,SERPINB2,SIGLEC1,SIGLEC10,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A	55
Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	ATAD3A-related type I interferonopathy	4.36E-23	CMPK2,EPSTI1,HERC5,IFI27,IFI44L,IFIT1,IRF7,ISG15,LAMP3,MX1,OASL,RSAD2,SIGLEC1	13
Cellular Movement	Cellular infiltration by myeloid cells	5.02E-23	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CFB,CLEC4E,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PTGES,PTGIR,PTGS2,SOCS3,WNT5A,ZBP1	33
Cellular Movement	Cellular infiltration	5.70E-23	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CD38,CFB,CLEC4E,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MDK,NCF1,PTGES,PTGIR,PTGS2,SOCS2,SOCS3,THBS1,TNFSF10,WNT5A,ZBP1	39
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rheumatoid arthritis	6.57E-23	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,G0S2,HELZ2,IL1A,IL1B,IL2RA,IL7R,JAK3,MDK,NAMPT,NCF1,PDE4B,PTGES,PTGS2,S100A12,SLC1A2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A	44
Gastrointestinal Disease,Inflammatory Response,Organismal Injury and Abnormalities	Inflammation of gastrointestinal tract	7.52E-23	ACOD1,ADGRE1,ADORA2A,APOBEC3A,CCL5,CCR7,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EREG,FPR2,GBP5,GCH1,IDO1,IL12B,IL1A,IL1B,IL2RA,ITGB8,JAK3,NCF1,PAX5,PDE4B,PTGS2,SOCS3,STAT4,TNFAIP6,ZBP1	40
Gastrointestinal Disease,Organismal Injury and Abnormalities	Abnormality of large intestine	1.25E-22	ACOD1,ADGRE1,ADORA2A,CCL5,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EREG,FPR2,GBP5,GCH1,IDO1,IL12B,IL1A,IL1B,IL2RA,ITGB8,JAK3,MDK,NCF1,PAX5,PDE4B,PTGS2,SOCS3,STAT4,WNT5A,ZBP1	38
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Colitis	2.48E-22	ACOD1,ADGRE1,ADORA2A,CCL5,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EREG,FPR2,GBP5,GCH1,IDO1,IL12B,IL1A,IL1B,IL2RA,ITGB8,JAK3,NCF1,PAX5,PDE4B,PTGS2,SOCS3,STAT4,ZBP1	36
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of T lymphocytes	3.03E-22	ADORA2A,AIM2,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CRLF2,CXCL1,CXCL10,CXCL13,CXCL8,ENPP2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IRF7,JAK3,LAG3,MDK,PTGS2,SOCS3,THBS1,TNFSF10,WNT5A	29
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Inflammation of joint	3.67E-22	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,FPR2,G0S2,HELZ2,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,JAK3,MDK,MN1,NAMPT,NCF1,PAX5,PDE4B,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SLC1A2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A	51
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Enteritis	8.83E-22	ACOD1,ADGRE1,ADORA2A,CCL5,CCR7,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EREG,FPR2,GBP5,GCH1,IDO1,IL12B,IL1A,IL1B,IL2RA,ITGB8,JAK3,NCF1,PAX5,PDE4B,PTGS2,SOCS3,STAT4,ZBP1	37
Cellular Movement	Cell movement	9.98E-22	ADAM19,ADORA2A,AIM2,ANGPTL4,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,EHF,ENPP2,EREG,FPR2,FSIP1,IDO1,IFIT2,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ITGB8,JAK3,LAG3,MCOLN2,MDK,MT1F,MX1,MYO1G,NAMPT,NCF1,NKX3-1,NSUN7,PAX5,PDE4B,PDPN,PLXNA4,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SLAMF1,SLC1A2,SNAI1,SOCS2,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WFDC21P,WNT5A,ZBP1	79
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cellular infiltration by leukocytes	1.35E-21	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CD38,CFB,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MDK,NCF1,PTGES,PTGIR,PTGS2,SOCS3,THBS1,TNFSF10,WNT5A	36
Cellular Development,Cellular Growth and Proliferation	Proliferation of blood cells	1.79E-21	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CLEC4D,CRLF2,CXCL10,CXCL2,CXCL3,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SIGLEC10,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,WNT5A	47
Cellular Movement	Migration of cells	7.26E-21	ADAM19,ADORA2A,AIM2,ANGPTL4,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CEMIP,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,EHF,ENPP2,EREG,FPR2,FSIP1,IDO1,IFIT2,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ITGB8,JAK3,LAG3,MCOLN2,MDK,MT1F,MYO1G,NAMPT,NCF1,NKX3-1,PAX5,PDE4B,PDPN,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SLAMF1,SLC1A2,SNAI1,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WFDC21P,WNT5A	74
Infectious Diseases,Organismal Injury and Abnormalities	Viral Infection	7.57E-21	ADORA2A,CCL20,CCL4,CCL5,CCL8,CCR7,CD38,CD70,CD80,CFB,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,EPSTI1,GBP5,GCH1,GFPT2,HERC5,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,KCNJ5,MAP1LC3A,MT1X,MT2A,MX1,MX2,NAMPT,NCF1,OASL,PDE4B,PLAC8,PTGS2,RSAD2,S100A12,SIGLEC1,SLAMF1,SOCS2,SOCS3,STAT4,TNFSF10,VCAN,XAF1,ZBP1	67
Inflammatory Response	Inflammatory response	8.21E-21	ACOD1,ADORA2A,ANGPTL4,APOL3,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL12B,IL1A,IL1B,IL27,IL2RA,ISG15,MDK,NAMPT,NCF1,NKG7,PDE4B,PTGES,PTGS2,S100A12,SLAMF1,SOCS3,STAT4,THBS1,TNFAIP6,WNT5A,ZBP1	45
